RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
01:38:54.791;-00:26:19.630;2.63E+20;0.756;+0.15/-0.12;14973.5;1.87258e-13;1.56167e-14;1.20753e-13;1.57879e-14;-9.990E+02;1.56247e-13;2.17843e-14;-9.990E+02;2.04142e-13;3.08284e-14;-9.990E+02
01:39:43.802;-00:35:44.707;2.68E+20;0.8;-999/-999;7297.5;8.10438e-14;1.15189e-14;4.77252e-14;1.20258e-14;-9.990E+02;1.04743e-13;2.13773e-14;-9.990E+02;5.30566e-14;1.89245e-14;-9.990E+02
02:04:41.761;+00:49:56.284;2.21E+20;0.8;-999/-999;8066.5;3.05458e-14;8.0916e-15;1.44191e-14;7.25625e-15;-9.990E+02;5.80337e-14;1.80866e-14;-9.990E+02;0;-3.22657e-11;7.34241e-14
02:05:04.147;+00:52:11.997;2.26E+20;0.8;-999/-999;8128.8;1.6158e-14;6.3497e-15;5.6113e-15;4.97141e-15;-9.990E+02;1.6874e-14;1.05066e-14;-9.990E+02;2.57654e-14;1.60428e-14;-9.990E+02
02:04:45.643;+00:40:03.345;2.21E+20;0.8;-999/-999;8368.2;2.69855e-14;8.0916e-15;1.75196e-14;8.57535e-15;-9.990E+02;8.81252e-15;7.55107e-15;-9.990E+02;5.38838e-14;2.27378e-14;-9.990E+02
02:05:13.577;+00:52:21.928;2.26E+20;0.8;-999/-999;8170.4;2.12512e-14;7.2954e-15;9.21856e-15;6.4176e-15;-9.990E+02;6.93505e-15;-1.90212e-11;9.17387e-14;6.35253e-14;2.53832e-14;-9.990E+02
02:04:17.546;+00:48:30.672;2.21E+20;0.219;+0.22/-0.18;4042.5;1.94648e-13;2.60117e-14;8.87674e-14;1.69836e-14;-9.990E+02;3.97376e-14;1.56414e-14;-9.990E+02;2.65507e-13;5.07987e-14;-9.990E+02
20:35:49.962;-00:25:51.390;7.96E+20;0.8;-999/-999;5364.8;3.77667e-14;1.26637e-14;9.23447e-15;9.05811e-15;-9.990E+02;1.97469e-14;1.36588e-14;-9.990E+02;8.53383e-14;3.43309e-14;-9.990E+02
20:35:55.858;-00:23:37.746;7.86E+20;0.8;-999/-999;4599.9;3.60552e-13;3.67747e-14;1.33923e-14;1.07468e-14;-9.990E+02;1.15254e-13;3.1773e-14;-9.990E+02;1.03845e-12;1.16608e-13;-9.990E+02
20:35:53.472;-00:32:25.454;8.09E+20;0.8;-999/-999;5518.6;2.36405e-14;1.02925e-14;1.74343e-14;1.32189e-14;-9.990E+02;9.25585e-15;9.87921e-15;-9.990E+02;3.9934e-14;2.46776e-14;-9.990E+02
20:36:40.934;-00:23:22.087;7.39E+20;0.8;-999/-999;5518.6;3.01723e-14;1.26376e-14;6.48865e-14;2.71776e-14;-9.990E+02;1.19301e-14;-2.99452e-11;1.1829e-13;5.18298e-14;-4.33742e-11;1.71337e-13
23:18:56.737;+00:14:38.725;3.82E+20;0.958;+0.01/-0.01;20968.4;3.28937e-11;1.13341e-13;2.97963e-11;1.60343e-13;-9.990E+02;3.23009e-11;1.90743e-13;-9.990E+02;3.30166e-11;2.3249e-13;-9.990E+02
23:19:10.486;+00:18:58.675;3.87E+20;0.8;-999/-999;21470.0;2.94961e-14;4.7091e-15;1.61231e-14;4.70058e-15;-9.990E+02;1.3107e-14;5.05302e-15;-9.990E+02;5.90454e-14;1.28615e-14;-9.990E+02
23:18:33.200;+00:16:45.404;3.81E+20;0.8;-999/-999;21356.2;1.80459e-14;3.84561e-15;7.43677e-15;3.38827e-15;-9.990E+02;1.51732e-14;5.5737e-15;-9.990E+02;3.03942e-14;9.83279e-15;-9.990E+02
23:18:34.019;+00:13:56.631;3.79E+20;0.8;-999/-999;22111.4;1.46183e-14;3.5585e-15;1.20427e-14;4.39571e-15;-9.990E+02;1.63974e-14;5.9852e-15;-9.990E+02;6.15741e-15;4.4969e-15;-9.990E+02
23:18:39.398;+00:20:37.898;3.84E+20;0.8;-999/-999;21857.7;2.03733e-14;3.99196e-15;8.40094e-15;3.52024e-15;-9.990E+02;1.7108e-14;5.78409e-15;-9.990E+02;3.42649e-14;9.82236e-15;-9.990E+02
23:19:16.743;+00:18:03.341;3.87E+20;0.336;+0.22/-0.17;21131.0;6.12533e-14;7.60305e-15;2.7477e-14;5.55235e-15;-9.990E+02;2.45959e-14;6.52544e-15;-9.990E+02;7.96036e-14;1.52528e-14;-9.990E+02
23:18:56.535;+00:22:29.058;3.88E+20;0.8;-999/-999;22151.0;1.98422e-14;3.997e-15;5.27223e-15;2.883e-15;-9.990E+02;1.07038e-14;4.72291e-15;-9.990E+02;4.82303e-14;1.20306e-14;-9.990E+02
23:19:12.958;+00:20:51.730;3.88E+20;0.8;-999/-999;21016.8;2.87784e-14;4.71075e-15;1.91112e-14;5.22179e-15;-9.990E+02;3.10512e-14;7.7565e-15;-9.990E+02;2.33163e-14;8.22009e-15;-9.990E+02
23:19:21.250;+00:14:55.039;3.86E+20;0.8;-999/-999;21376.3;1.49793e-14;3.70916e-15;1.85522e-14;5.54792e-15;-9.990E+02;1.61739e-14;-9.33206e-12;2.77123e-14;1.88898e-14;8.21439e-15;-9.990E+02
23:18:29.060;+00:12:49.578;3.78E+20;0.8;-999/-999;21980.9;1.44851e-14;3.55725e-15;1.15018e-14;4.32931e-15;-9.990E+02;5.22345e-15;3.33367e-15;-9.990E+02;2.35553e-14;8.86629e-15;-9.990E+02
23:19:04.548;+00:23:35.280;3.90E+20;0.8;-999/-999;21170.9;2.74538e-14;4.71372e-15;1.57262e-14;4.81756e-15;-9.990E+02;3.72093e-14;8.60667e-15;-9.990E+02;1.59655e-14;6.98424e-15;-9.990E+02
23:18:21.740;+00:13:57.520;3.78E+20;0.8;-999/-999;20792.1;3.10477e-14;4.83786e-15;1.6424e-14;4.82469e-15;-9.990E+02;2.23765e-14;6.57329e-15;-9.990E+02;5.04563e-14;1.19962e-14;-9.990E+02
23:18:49.536;+00:06:36.235;3.76E+20;0.8;-999/-999;21173.6;2.00786e-14;4.1238e-15;1.85749e-14;5.53036e-15;-9.990E+02;1.90012e-14;6.50363e-15;-9.990E+02;9.52429e-15;5.47714e-15;-9.990E+02
23:18:15.763;+00:15:43.103;3.79E+20;0.926;+0.07/-0.06;13482.3;4.56064e-13;1.664e-14;3.56822e-13;2.15068e-14;-9.990E+02;4.80995e-13;2.82203e-14;-9.990E+02;4.6433e-13;3.3506e-14;-9.990E+02
23:18:43.046;+00:06:40.949;3.76E+20;0.8;-999/-999;20961.3;1.47746e-14;3.6972e-15;1.01162e-14;-6.83271e-12;1.80618e-14;1.11911e-14;5.16127e-15;-9.990E+02;3.9252e-14;1.16396e-14;-9.990E+02
23:18:58.163;+00:06:19.888;3.77E+20;1.344;+0.15/-0.12;17894.4;8.74156e-14;5.92361e-15;1.42592e-13;1.40931e-14;-9.990E+02;1.29899e-13;1.45364e-14;-9.990E+02;7.4646e-14;1.25493e-14;-9.990E+02
23:19:14.869;+00:07:15.680;3.80E+20;0.260;+0.13/-0.11;16305.1;1.87235e-13;1.45771e-14;2.97388e-14;6.27407e-15;-9.990E+02;1.43836e-13;1.73925e-14;-9.990E+02;2.50973e-13;2.89688e-14;-9.990E+02
23:19:40.168;+00:10:08.722;3.86E+20;0.883;+0.09/-0.08;12323.3;2.75396e-13;1.46487e-14;1.99294e-13;1.73826e-14;-9.990E+02;2.81178e-13;2.38353e-14;-9.990E+02;2.8577e-13;2.9437e-14;-9.990E+02
23:42:20.173;+00:15:40.706;3.38E+20;0.8;-999/-999;9190.5;3.29191e-14;8.4264e-15;2.99657e-14;1.08741e-14;-9.990E+02;3.48975e-14;1.38382e-14;-9.990E+02;1.05325e-14;9.42157e-15;-9.990E+02
23:42:24.775;+00:11:20.828;3.36E+20;0.8;-999/-999;9615.9;2.38017e-14;7.15734e-15;2.75713e-14;1.03086e-14;-9.990E+02;2.20298e-14;1.08809e-14;-9.990E+02;7.62003e-15;-2.74763e-11;5.49526e-14
