RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
00:28:14.530;-01:04:41.778;1.863E-03;2.300E-04;38260.2;8.766E-04;1.558E-04;-9.990E+02;5.478E-04;1.261E-04;-9.990E+02;4.383E-04;1.113E-04;-9.990E+02
00:28:08.323;-01:15:36.408;4.418E-04;1.300E-04;54541.1;3.681E-05;3.695E-05;-9.990E+02;1.104E-04;6.363E-05;-9.990E+02;2.945E-04;1.026E-04;-9.990E+02
00:28:24.831;-01:08:53.343;3.982E-03;3.500E-04;22331.3;1.048E-03;1.810E-04;-9.990E+02;1.677E-03;2.293E-04;-9.990E+02;1.258E-03;1.991E-04;-9.990E+02
00:27:47.551;-01:00:56.967;1.287E-03;1.900E-04;34883.7;7.509E-04;1.441E-04;-9.990E+02;5.364E-04;1.245E-04;-9.990E+02;4.066E-04;-1.898E-01;7.091E-04
00:27:16.289;-01:07:15.089;9.138E-04;1.600E-04;60461.5;4.569E-04;1.131E-04;-9.990E+02;2.284E-04;8.000E-05;-9.990E+02;2.284E-04;8.000E-05;-9.990E+02
00:27:23.892;-01:15:22.428;4.180E-04;1.200E-04;61868.4;2.280E-04;9.000E-05;-9.990E+02;3.800E-05;3.675E-05;-9.990E+02;1.520E-04;7.275E-05;-9.990E+02
00:27:14.525;-01:11:57.139;8.749E-04;1.700E-04;58826.3;3.978E-04;1.133E-04;-9.990E+02;2.784E-04;9.917E-05;-9.990E+02;1.989E-04;8.500E-05;-9.990E+02
00:28:01.208;-01:18:32.029;8.622E-04;1.600E-04;54425.0;1.642E-04;6.769E-05;-9.990E+02;2.463E-04;8.615E-05;-9.990E+02;4.515E-04;1.169E-04;-9.990E+02
00:27:17.916;-01:04:21.307;7.815E-04;1.700E-04;40031.6;4.263E-04;1.224E-04;-9.990E+02;2.842E-04;1.020E-04;-9.990E+02;7.105E-05;5.100E-05;-9.990E+02
00:28:20.777;-01:15:19.853;4.834E-04;1.300E-04;55451.1;1.450E-04;7.265E-05;-9.990E+02;9.672E-05;5.965E-05;-9.990E+02;2.417E-04;9.176E-05;-9.990E+02
00:27:53.492;-01:19:10.550;5.004E-04;1.300E-04;53446.3;7.697E-05;5.200E-05;-9.990E+02;2.310E-04;9.100E-05;-9.990E+02;1.924E-04;8.450E-05;-9.990E+02
00:28:29.669;-01:13:00.037;8.532E-04;1.800E-04;33634.4;4.266E-04;1.260E-04;-9.990E+02;3.413E-04;1.140E-04;-9.990E+02;8.532E-05;5.640E-05;-9.990E+02
00:28:04.105;-01:19:34.193;7.608E-04;1.600E-04;53222.7;5.852E-05;4.495E-05;-9.990E+02;1.756E-04;7.619E-05;-9.990E+02;5.268E-04;1.371E-04;-9.990E+02
00:27:12.326;-01:04:36.715;1.522E-03;2.300E-04;27147.0;4.567E-04;1.278E-04;-9.990E+02;4.567E-04;1.278E-04;-9.990E+02;6.089E-04;1.469E-04;-9.990E+02
00:28:09.616;-01:19:05.946;4.470E-04;1.300E-04;50515.8;1.625E-04;7.429E-05;-9.990E+02;8.127E-05;5.448E-05;-9.990E+02;2.032E-04;8.667E-05;-9.990E+02
00:28:19.068;-01:18:11.646;1.219E-03;2.100E-04;41019.1;2.032E-04;8.250E-05;-9.990E+02;3.048E-04;1.050E-04;-9.990E+02;7.113E-04;1.575E-04;-9.990E+02
00:27:59.516;-01:20:33.474;1.114E-03;1.900E-04;49256.9;6.962E-05;4.750E-05;-9.990E+02;4.873E-04;1.242E-04;-9.990E+02;5.569E-04;1.315E-04;-9.990E+02
00:27:22.090;-01:18:47.833;2.256E-03;2.700E-04;48357.8;1.077E-03;1.826E-04;-9.990E+02;6.153E-04;1.429E-04;-9.990E+02;5.640E-04;1.350E-04;-9.990E+02
